recording_id,source,category,animal,breed,age,diagnosis_category,diagnosis,grade,description,duration_sec,audio_path,audio_format,image_path,source_url,source_page,status
cb-atrial-fibrillation-biventricular-heart-failure,cliniciansbrief,arrhythmia,dog,,,arrhythmia,Atrial Fibrillation & Biventricular Heart Failure,3-4/6,"A rapid and irregular heartbeat is auscultated in this sound. The rhythm is irregular, but some beats are softer than others, and a grade 3-4/6 systolic murmur is heard. The murmur is louder with stronger beats (likely because of a longer diastolic interval allowing for more ventricular filling) and softer with beats that have not generated as much pressure (likely because of a shorter diastolic interval allowing for less diastolic filling). This type of rhythm, which can sound like tennis shoes in a dryer or bongo drums, is characteristic of atrial fibrillation with mitral insufficiency.",7.5,sources/cliniciansbrief/audio/arrhythmia/atrial-fibrillation-biventricular-heart-failure.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/atrial-fibrillation/s-nVj4G,https://www.cliniciansbrief.com/cardiac-library/heart-sound/atrial-fibrillation-biventricular-heart-failure,ok
cb-atrial-fibrillation-dilated-cardiomyopathy,cliniciansbrief,arrhythmia,dog,,,arrhythmia,Atrial Fibrillation with Dilated Cardiomyopathy,3-4/6,"A rapid and irregular heart beat is auscultated in this sound. The rhythm is irregular, some beats are softer than others, and a grade 3-4/6 systolic murmur is heard. There is also a high-frequency, musical grade 2-3/6 systolic murmur present, which is not heard with every beat; this murmur is louder with stronger beats (likely because of a longer diastolic interval that allows more ventricular filling) and softer with beats that have not generated as much pressure (likely because of a shorter diastolic interval that allows less diastolic filling). This type of rhythm, which can sound like tennis shoes in a dryer or bongo drums, is characteristic of atrial fibrillation with mitral insufficiency.",8.1,sources/cliniciansbrief/audio/arrhythmia/atrial-fibrillation-dilated-cardiomyopathy.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/atrial-fibrillation-with/s-QjWcz,https://www.cliniciansbrief.com/cardiac-library/heart-sound/atrial-fibrillation-dilated-cardiomyopathy,ok
cb-atrial-fibrillation-grade-2-systolic-murmur,cliniciansbrief,arrhythmia,dog,,,arrhythmia,Atrial Fibrillation with Grade 2 Systolic Murmur,2/6,"A rapid and irregular heart beat is auscultated in this heart sound. Some beats are softer than others, but the rhythm is irregular. There is also a grade 2/6 systolic murmur heard with the louder beats. This type of rhythm, which can sound like tennis shoes in a dryer or bongo drums, is characteristic of atrial fibrillation with mitral insufficiency.",8.0,sources/cliniciansbrief/audio/arrhythmia/atrial-fibrillation-grade-2-systolic-murmur.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/atrial-fibrillation-with-grade/s-rUH8o,https://www.cliniciansbrief.com/cardiac-library/heart-sound/atrial-fibrillation-grade-2-systolic-murmur,ok
cb-atrial-fibrillation-mitral-regurgitation,cliniciansbrief,arrhythmia,dog,,,arrhythmia,Atrial Fibrillation with Mitral Regurgitation,,"A rapid and irregular heartbeat is auscultated in this heart sound. Some beats are softer than others, but the rhythm is irregular. A grade 1 murmur is sometimes auscultated, but not with every beat. This type of rhythm, which can sound like tennis shoes in a dryer or bongo drums, is characteristic of atrial fibrillation with mitral insufficiency.",8.1,sources/cliniciansbrief/audio/arrhythmia/atrial-fibrillation-mitral-regurgitation.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/atrial-fibrillation-with-1/s-NS4qP,https://www.cliniciansbrief.com/cardiac-library/heart-sound/atrial-fibrillation-mitral-regurgitation,ok
cb-canine-sick-sinus-syndrome,cliniciansbrief,arrhythmia,dog,,,arrhythmia,Canine Sick Sinus Syndrome,2/6,"A grade 2/6 plateau-shaped systolic murmur (heard over the left apex), caused by mitral insufficiency, is auscultated in this heart sound. A normal sinus rhythm is initially appreciated, followed by an abnormally prolonged pause. This pause is too long to be associated with a sinus arrhythmia and is consistent with a possible diagnosis of sick sinus syndrome in this patient.",8.1,sources/cliniciansbrief/audio/arrhythmia/canine-sick-sinus-syndrome.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/canine-sick-sinus-syndrome/s-ce9aS,https://www.cliniciansbrief.com/cardiac-library/heart-sound/canine-sick-sinus-syndrome,ok
cb-equine-aortic-insufficiency-murmur,cliniciansbrief,acquired_valvular_disease,horse,,,acquired_valvular_disease,Equine Aortic Insufficiency Murmur,,"A decrescendo murmur starting at the time of S2 is appreciated in this equine heart sound; the murmur gradually tapers from the initial peak as it extends through diastole (decrescendo in shape). The most common cause of a decrescendo diastolic murmur in older horses is degeneration of the aortic valve, leading to aortic insufficiency.",8.1,sources/cliniciansbrief/audio/acquired_valvular_disease/equine-aortic-insufficiency-murmur.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/equine-aortic-insufficiency/s-WihdT,https://www.cliniciansbrief.com/cardiac-library/heart-sound/equine-aortic-insufficiency-murmur,ok
cb-equine-atrial-fibrillation,cliniciansbrief,arrhythmia,horse,,,arrhythmia,Equine Atrial Fibrillation,,"In this recording from a horse, S1, S2 and S3 sounds can be heard; these are normal equine heart sounds. However, this rhythm is irregular and slightly faster than normal for a horse because of atrial fibrillation development.",28.3,sources/cliniciansbrief/audio/arrhythmia/equine-atrial-fibrillation.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/equine-atrial-fibrillation/s-qEPmS,https://www.cliniciansbrief.com/cardiac-library/heart-sound/equine-atrial-fibrillation,ok
cb-feline-atrial-fibrillation,cliniciansbrief,arrhythmia,cat,,,arrhythmia,Feline Atrial Fibrillation,,"In this heart sound, a rapid and irregular heartbeat is heard. Some beats are softer than others, and the rhythm is quite irregular and should be obvious even at this fast rate in a cat. This type of rhythm is characteristic of atrial fibrillation with mitral insufficiency. It is often described as ‘tennis shoes in a dryer’ or ‘bongo drums.’",10.3,sources/cliniciansbrief/audio/arrhythmia/feline-atrial-fibrillation.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/cat-atrial-fibrilation/s-xnwKO,https://www.cliniciansbrief.com/cardiac-library/heart-sound/feline-atrial-fibrillation,ok
cb-feline-gallop-sound,cliniciansbrief,other,cat,,,other,Feline Gallop Sound,,"A rapid heart rate and a gallop sound are auscultated in this sound. The third and fourth heart sounds occur during diastole and are not audible in normal cats; S3 and S4 heart sounds are lower frequency than S1 and S2 and are usually best appreciated with the stethoscope bell. When heard, S3 or S4 sounds may be similar to horse galloping, hence the term gallop heart sounds ; however, the term gallop rhythm should be avoided, as an audible S3 or S4 does not relate to the heart’s underlying electrical rhythm. Rapid ventricular filling generates the S3 (also known as S3, protodiastolic , or ventricular gallop ). A presystolic gallop (also called S4 or atrial gallop ) is heard just before S1 and occurs just after the P wave on the ECG. An audible S4 (dog or cat) is usually associated with increased ventricular concentric hypertrophy and stiffness. Rapid ventricular filling and atrial systole transpire very close together at rapid heart rates (common in cats), making differentiation between S3 and S4 impossible. The resulting single accentuated sound is referred to as a summation gallop .",5.3,sources/cliniciansbrief/audio/other/feline-gallop-sound.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/feline-gallop-sound/s-1iNa2,https://www.cliniciansbrief.com/cardiac-library/heart-sound/feline-gallop-sound,ok
cb-feline-mitral-stenosis,cliniciansbrief,acquired_valvular_disease,cat,,,acquired_valvular_disease,Feline Mitral Stenosis,,"A combination of systolic and diastolic murmurs caused by mitral valve dysplasia is auscultated in these feline heart sounds. The mitral valve dysplasia causes both mitral insufficiency (systolic component) with diastolic murmur (during the passive/early and active/late phases of left ventricular filling). This is described as a to-and-fro murmur; the systolic component tapers in late systole, allowing recognition of S2 and differentiation from a continuous murmur. Also in this recording, there is an extra systole caused by an atrial premature contraction.",8.1,sources/cliniciansbrief/audio/acquired_valvular_disease/feline-mitral-stenosis.mp3,mp3,,https://soundcloud.com/cliniciansbrief/sets/feline-mitral-stenosis/s-i1PRi,https://www.cliniciansbrief.com/cardiac-library/heart-sound/feline-mitral-stenosis,ok
